id,localidad,tipo,superficie_m2,habitaciones,banos,antiguedad_anios,planta,ascensor,estado,calificacion_energetica,calefaccion,visitas_anuncio,precio_mes,dias_hasta_alquiler,contacto_anunciante,alquilada_rapido
VIV-243,Tauste,casa,223,6,3,35,0,no,bueno,C,sí,6,990,7,anuncio243@example.org,sí
VIV-244,Luna,piso,104,3,2,74,4,sí,a reformar,E,sí,5,295,6,anuncio244@example.org,sí
VIV-245,Tauste,piso,99,2,2,19,0,no,nuevo,B,sí,24,615,196,anuncio245@example.org,no
VIV-246,Sádaba,piso,120,4,2,29,0,sí,bueno,C,sí,23,510,53,anuncio246@example.org,no
VIV-247,Ejea de los Caballeros,adosado,125,4,2,17,0,no,reformado,C,no,27,725,122,anuncio247@example.org,no
VIV-248,Uncastillo,adosado,169,6,2,31,0,no,bueno,A,no,2,435,1,anuncio248@example.org,sí
VIV-249,Ejea de los Caballeros,adosado,141,4,2,16,0,no,a reformar,B,sí,4,595,1,anuncio249@example.org,sí
VIV-250,Ejea de los Caballeros,casa,147,4,2,85,0,no,a reformar,G,no,4,485,1,anuncio250@example.org,sí
VIV-251,Sos del Rey Católico,casa,109,4,2,48,0,no,bueno,F,sí,7,355,7,anuncio251@example.org,sí
VIV-252,Biota,piso,51,3,1,18,2,sí,nuevo,B,sí,13,250,240,anuncio252@example.org,no
VIV-253,Luna,casa,213,6,3,28,0,no,a reformar,C,sí,4,575,3,anuncio253@example.org,sí
VIV-254,Tauste,casa,96,3,2,38,0,no,reformado,C,sí,21,525,83,anuncio254@example.org,no
VIV-255,Erla,casa,235,6,3,52,0,no,bueno,D,sí,2,610,9,anuncio255@example.org,sí
VIV-256,Ejea de los Caballeros,casa,258,6,3,34,0,no,reformado,B,sí,32,1350,70,anuncio256@example.org,no
VIV-257,Ejea de los Caballeros,piso,67,1,1,56,3,sí,bueno,E,no,5,335,9,anuncio257@example.org,sí
VIV-258,Uncastillo,casa,246,6,3,7,0,no,bueno,A,sí,5,820,30,anuncio258@example.org,sí
VIV-259,Tauste,piso,95,3,2,16,1,no,bueno,B,sí,9,470,18,anuncio259@example.org,sí
VIV-260,Ejea de los Caballeros,piso,121,5,2,9,3,sí,bueno,C,sí,10,710,33,anuncio260@example.org,no
VIV-261,Sádaba,casa,221,6,3,43,0,no,reformado,D,sí,2,825,7,anuncio261@example.org,sí
VIV-262,Sádaba,piso,70,1,1,37,4,sí,a reformar,C,sí,5,220,1,anuncio262@example.org,sí
VIV-263,Tauste,piso,56,1,1,26,4,sí,reformado,C,sí,21,355,81,anuncio263@example.org,no
VIV-264,Tauste,adosado,152,4,2,17,0,no,a reformar,B,sí,8,635,18,anuncio264@example.org,sí
VIV-265,Tauste,piso,68,1,1,26,2,sí,bueno,D,sí,17,390,28,anuncio265@example.org,sí
VIV-266,Erla,adosado,117,3,2,8,0,no,bueno,A,sí,6,330,11,anuncio266@example.org,sí
VIV-267,Ejea de los Caballeros,piso,113,3,2,8,2,sí,reformado,A,sí,29,660,78,anuncio267@example.org,no
VIV-268,Tauste,adosado,106,3,2,15,0,no,nuevo,B,sí,12,605,31,anuncio268@example.org,no
VIV-269,Ejea de los Caballeros,casa,219,6,3,37,0,no,reformado,C,sí,2,950,4,anuncio269@example.org,sí
VIV-270,Sádaba,piso,56,2,1,95,1,sí,reformado,G,sí,8,235,8,anuncio270@example.org,sí
VIV-271,Sádaba,piso,47,1,1,13,3,no,bueno,B,sí,11,220,27,anuncio271@example.org,sí
VIV-272,Ejea de los Caballeros,piso,101,3,2,37,1,no,nuevo,B,sí,27,600,91,anuncio272@example.org,no
VIV-273,Tauste,piso,129,4,2,30,4,sí,reformado,D,sí,13,770,21,anuncio273@example.org,sí
VIV-274,Erla,adosado,166,6,2,28,0,no,reformado,C,sí,6,615,100,anuncio274@example.org,no
VIV-275,Tauste,adosado,175,5,3,64,0,no,reformado,F,no,4,700,6,anuncio275@example.org,sí
VIV-276,Tauste,casa,246,6,3,56,0,no,bueno,E,no,5,780,1,anuncio276@example.org,sí
VIV-277,Erla,piso,91,2,2,15,3,sí,nuevo,C,no,7,390,240,anuncio277@example.org,no
VIV-278,Sádaba,piso,125,5,2,9,0,no,reformado,A,no,6,490,16,anuncio278@example.org,sí
VIV-279,Ejea de los Caballeros,casa,184,6,3,21,0,no,bueno,C,sí,9,760,2,anuncio279@example.org,sí
VIV-280,Tauste,casa,115,3,2,57,0,no,nuevo,F,no,7,555,16,anuncio280@example.org,sí
VIV-281,Tauste,piso,117,4,2,28,3,sí,a reformar,B,sí,4,495,3,anuncio281@example.org,sí
VIV-282,Tauste,piso,48,1,1,23,0,no,bueno,E,sí,16,260,37,anuncio282@example.org,no
VIV-283,Ejea de los Caballeros,casa,255,6,3,22,0,no,nuevo,A,sí,22,1530,62,anuncio283@example.org,no
VIV-284,Luna,piso,55,2,1,67,5,sí,reformado,D,sí,12,255,240,anuncio284@example.org,no
VIV-285,Luna,piso,70,2,1,12,5,sí,reformado,C,sí,7,310,73,anuncio285@example.org,no
VIV-286,Ejea de los Caballeros,casa,244,6,3,17,0,no,reformado,A,no,10,1195,13,anuncio286@example.org,sí
VIV-287,Tauste,adosado,172,5,3,95,0,no,bueno,G,no,2,655,5,anuncio287@example.org,sí
VIV-288,Ejea de los Caballeros,casa,162,5,2,14,0,no,a reformar,A,sí,3,570,1,anuncio288@example.org,sí
VIV-289,Sádaba,casa,172,6,3,5,0,no,bueno,A,sí,7,675,21,anuncio289@example.org,sí
VIV-290,Tauste,piso,100,3,2,59,4,sí,bueno,E,sí,14,440,15,anuncio290@example.org,sí
VIV-291,Erla,piso,53,2,1,70,4,sí,bueno,D,sí,4,170,16,anuncio291@example.org,sí
VIV-292,Tauste,piso,81,3,2,34,2,sí,bueno,D,no,15,390,16,anuncio292@example.org,sí
VIV-293,Sádaba,piso,48,1,1,24,5,sí,reformado,D,no,6,210,22,anuncio293@example.org,sí
VIV-294,Uncastillo,piso,57,2,1,28,0,sí,reformado,B,sí,12,225,113,anuncio294@example.org,no
VIV-295,Ejea de los Caballeros,piso,78,2,1,44,2,sí,bueno,D,no,6,380,4,anuncio295@example.org,sí
VIV-296,Sádaba,piso,87,3,2,42,1,no,bueno,C,sí,18,415,143,anuncio296@example.org,no
VIV-297,Ejea de los Caballeros,casa,212,6,3,65,0,no,bueno,E,sí,10,1030,13,anuncio297@example.org,sí
VIV-298,Ejea de los Caballeros,piso,84,2,2,39,5,sí,a reformar,B,sí,10,375,13,anuncio298@example.org,sí
VIV-299,Tauste,casa,126,4,2,4,0,no,bueno,A,no,3,545,1,anuncio299@example.org,sí
VIV-300,Ejea de los Caballeros,casa,258,6,3,15,0,no,bueno,C,sí,4,1185,11,anuncio300@example.org,sí
VIV-301,Ejea de los Caballeros,piso,111,3,2,16,5,sí,bueno,B,sí,11,655,34,anuncio301@example.org,no
VIV-302,Sádaba,casa,91,4,2,56,0,no,a reformar,E,no,3,250,1,anuncio302@example.org,sí
VIV-303,Ejea de los Caballeros,casa,232,6,3,28,0,no,nuevo,C,sí,9,1180,17,anuncio303@example.org,sí
VIV-304,Biota,piso,58,2,1,26,4,no,bueno,C,sí,9,235,66,anuncio304@example.org,no
VIV-305,Tauste,piso,101,3,2,74,0,no,bueno,F,no,3,430,5,anuncio305@example.org,sí
VIV-306,Tauste,piso,112,3,2,10,4,no,bueno,B,sí,19,575,34,anuncio306@example.org,no
VIV-307,Ejea de los Caballeros,adosado,141,4,2,8,0,no,bueno,A,no,21,715,22,anuncio307@example.org,sí
VIV-308,Sádaba,piso,92,3,2,33,1,no,a reformar,D,sí,7,315,6,anuncio308@example.org,sí
VIV-309,Sos del Rey Católico,piso,79,3,1,3,0,no,nuevo,A,sí,10,430,240,anuncio309@example.org,no
VIV-310,Luna,piso,123,3,2,37,2,sí,bueno,C,sí,10,460,55,anuncio310@example.org,no
VIV-311,Tauste,piso,45,2,1,19,0,no,bueno,B,sí,16,245,41,anuncio311@example.org,no
VIV-312,Ejea de los Caballeros,piso,54,1,1,36,3,sí,bueno,C,sí,14,305,38,anuncio312@example.org,no
VIV-313,Tauste,piso,63,1,1,12,2,no,a reformar,B,sí,9,245,3,anuncio313@example.org,sí
VIV-314,Sádaba,casa,116,5,2,15,0,no,bueno,A,sí,5,475,30,anuncio314@example.org,sí
VIV-315,Tauste,piso,45,1,1,41,3,sí,bueno,B,sí,23,290,108,anuncio315@example.org,no
VIV-316,Tauste,piso,49,1,1,7,3,sí,bueno,A,sí,17,305,87,anuncio316@example.org,no
VIV-317,Tauste,casa,145,4,2,81,0,no,bueno,F,no,7,565,3,anuncio317@example.org,sí
VIV-318,Biota,piso,105,4,2,84,2,sí,reformado,F,sí,12,385,76,anuncio318@example.org,no
VIV-319,Sádaba,casa,140,4,2,43,0,no,bueno,E,sí,8,560,22,anuncio319@example.org,sí
VIV-320,Ejea de los Caballeros,casa,219,6,3,55,0,no,a reformar,C,sí,1,775,1,anuncio320@example.org,sí
